"","StandortID","KaboStatus","AktStandorttyp","x_200","y_200","Gemeinde","periode","p.dat","param_txt","einheit","WertOB","WertOB_tab","Klasse_OB","WertUB","WertUB_tab","Klasse_UB"
"38",6403,"NS","Wald",2702400,1265200,"Wiesendangen",3,2005-09-15,"Quecksilber","ppm",0,"<0.15","-1",0.03,"0.03","0"
"39",6403,"NS","Wald",2702400,1265200,"Wiesendangen",4,2010-08-18,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"40",6403,"NS","Wald",2702400,1265200,"Wiesendangen",5,2015-10-08,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"41",6403,"NS","Wald",2702400,1265200,"Wiesendangen",6,2024-06-13,"Quecksilber","ppm",NA,NA,NA,NA,NA,NA
"42",6404,"NS","Wald",2702200,1268600,"Rickenbach",1,1995-09-07,"Quecksilber","ppm",0.08,"0.08","0",0.05,"0.05","0"
"43",6404,"NS","Wald",2702200,1268600,"Rickenbach",2,2000-10-12,"Quecksilber","ppm",0.09,"0.09","0",NA,NA,NA
"44",6404,"NS","Wald",2702200,1268600,"Rickenbach",3,2005-08-07,"Quecksilber","ppm",0,"<0.15","-1",0.05,"0.05","0"
"45",6404,"NS","Wald",2702200,1268600,"Rickenbach",4,2010-07-07,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"46",6404,"NS","Wald",2702200,1268600,"Rickenbach",5,2015-10-01,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"47",6404,"NS","Wald",2702200,1268600,"Rickenbach",6,2024-06-13,"Quecksilber","ppm",NA,NA,NA,NA,NA,NA
"48",6405,"NS","Wald",2690000,1277000,"Rheinau",1,1995-09-22,"Quecksilber","ppm",0.05,"0.05","0",NA,NA,NA
"49",6405,"NS","Wald",2690000,1277000,"Rheinau",2,2000-08-29,"Quecksilber","ppm",NA,NA,NA,NA,NA,NA
"50",6405,"NS","Wald",2690000,1277000,"Rheinau",3,2005-09-01,"Quecksilber","ppm",0,"<0.15","-1",0.03,"0.03","0"
"51",6405,"NS","Wald",2690000,1277000,"Rheinau",4,2010-05-27,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"52",6405,"NS","Wald",2690000,1277000,"Rheinau",5,2015-11-04,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"53",6406,"NS","Wald",2694800,1274600,"Ossingen",1,1995-09-04,"Quecksilber","ppm",0.08,"0.08","0",NA,NA,NA
"54",6406,"NS","Wald",2694800,1274600,"Ossingen",2,2000-07-26,"Quecksilber","ppm",NA,NA,NA,NA,NA,NA
"55",6406,"NS","Wald",2694800,1274600,"Ossingen",3,2005-09-14,"Quecksilber","ppm",0,"<0.15","-1",0.04,"0.04","0"
"56",6406,"NS","Wald",2694800,1274600,"Ossingen",4,2010-06-30,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"57",6406,"NS","Wald",2694800,1274600,"Ossingen",5,2015-07-01,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"58",6407,"NS","Wald",2694600,1275200,"Ossingen",1,1995-09-22,"Quecksilber","ppm",0.07,"0.07","0",0.03,"0.03","0"
"59",6407,"NS","Wald",2694600,1275200,"Ossingen",2,2000-06-27,"Quecksilber","ppm",0,"<0.15","-1",NA,NA,NA
"60",6407,"NS","Wald",2694600,1275200,"Ossingen",3,2005-09-08,"Quecksilber","ppm",0,"<0.15","-1",0.03,"0.03","0"
"61",6407,"NS","Wald",2694600,1275200,"Ossingen",4,2010-06-30,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"62",6407,"NS","Wald",2694600,1275200,"Ossingen",5,2015-07-01,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"63",6408,"NS","Wald",2695600,1264200,"Winterthur",1,1995-09-19,"Quecksilber","ppm",0.08,"0.08","0",0.04,"0.04","0"
"64",6408,"NS","Wald",2695600,1264200,"Winterthur",2,2000-07-19,"Quecksilber","ppm",0.1,"0.1","0",NA,NA,NA
"65",6408,"NS","Wald",2695600,1264200,"Winterthur",3,2005-10-27,"Quecksilber","ppm",0,"<0.15","-1",0.03,"0.03","0"
"66",6408,"NS","Wald",2695600,1264200,"Winterthur",4,2010-07-08,"Quecksilber","ppm",0,"<0.15","-1",NA,NA,NA
"67",6408,"NS","Wald",2695600,1264200,"Winterthur",5,2015-11-18,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"68",6408,"NS","Wald",2695600,1264200,"Winterthur",6,2024-02-29,"Quecksilber","ppm",NA,NA,NA,NA,NA,NA
"69",6409,"HS","Wald",2703200,1264200,"Wiesendangen",1,1995-09-20,"Quecksilber","ppm",0.09,"0.09","0",0,"<0.15","-1"
"70",6409,"HS","Wald",2703200,1264200,"Wiesendangen",2,2000-11-02,"Quecksilber","ppm",0,"<0.15","-1",0.04,"0.04","0"
"71",6409,"HS","Wald",2703200,1264200,"Wiesendangen",3,2005-07-13,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"72",6409,"HS","Wald",2703200,1264200,"Wiesendangen",4,2010-08-11,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"73",6409,"HS","Wald",2703200,1264200,"Wiesendangen",5,2015-10-08,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"74",6409,"HS","Wald",2703200,1264200,"Wiesendangen",6,2020-09-03,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"75",6410,"NS","Wald",2703400,1268400,"Ellikon a.d.T",1,1995-09-07,"Quecksilber","ppm",0.09,"0.09","0",0.04,"0.04","0"
"76",6410,"NS","Wald",2703400,1268400,"Ellikon a.d.T",2,2000-07-05,"Quecksilber","ppm",0.09,"0.09","0",0.05,"0.05","0"
"77",6410,"NS","Wald",2703400,1268400,"Ellikon a.d.T",3,2005-07-13,"Quecksilber","ppm",0.09,"0.09","0",0.04,"0.04","0"
"78",6410,"NS","Wald",2703400,1268400,"Ellikon a.d.T",4,2010-07-07,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"79",6410,"NS","Wald",2703400,1268400,"Ellikon a.d.T",5,2015-10-01,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"80",6410,"NS","Wald",2703400,1268400,"Ellikon a.d.T",6,2024-03-14,"Quecksilber","ppm",NA,NA,NA,NA,NA,NA
"81",6411,"NS","Wald",2703200,1269000,"Ellikon a.d.T",1,1995-09-07,"Quecksilber","ppm",0.09,"0.09","0",0.06,"0.06","0"
"82",6411,"NS","Wald",2703200,1269000,"Ellikon a.d.T",2,2000-07-05,"Quecksilber","ppm",0,"<0.15","-1",NA,NA,NA
"83",6411,"NS","Wald",2703200,1269000,"Ellikon a.d.T",3,2005-11-09,"Quecksilber","ppm",0,"<0.15","-1",0.05,"0.05","0"
"84",6411,"NS","Wald",2703200,1269000,"Ellikon a.d.T",4,2010-07-07,"Quecksilber","ppm",0,"<0.15","-1",NA,NA,NA
"85",6411,"NS","Wald",2703200,1269000,"Ellikon a.d.T",5,2015-10-01,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"86",6411,"NS","Wald",2703200,1269000,"Ellikon a.d.T",6,2024-03-21,"Quecksilber","ppm",NA,NA,NA,NA,NA,NA
"87",6412,"NS","Wald",2690400,1277600,"Benken",1,1995-09-22,"Quecksilber","ppm",0.05,"0.05","0",NA,NA,NA
"88",6412,"NS","Wald",2690400,1277600,"Benken",2,2000-05-24,"Quecksilber","ppm",0,"<0.15","-1",NA,NA,NA
"89",6412,"NS","Wald",2690400,1277600,"Benken",3,2005-09-01,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"90",6412,"NS","Wald",2690400,1277600,"Benken",4,2010-07-01,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"91",6412,"NS","Wald",2690400,1277600,"Benken",5,2015-07-08,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"92",6413,"NS","Wald",2691200,1277400,"Marthalen",1,1995-09-22,"Quecksilber","ppm",0.01,"0.01","0",NA,NA,NA
