StandortID,p.dat,periode,KaboStatus,AktStandorttyp,Parameter,WertOB,WertOB_tab,Klasse_OB,WertUB,WertUB_tab,Klasse_UB,param_txt,einheit
6406,2005-09-14,3,NS,Wald,HGT_PPM,0,<0.15,-1,0.04,0.04,0,Quecksilber,ppm
6406,2010-06-30,4,NS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6406,2015-07-01,5,NS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6407,1995-09-22,1,NS,Wald,HGT_PPM,0.07,0.07,0,0.03,0.03,0,Quecksilber,ppm
6407,2000-06-27,2,NS,Wald,HGT_PPM,0,<0.15,-1,NA,NA,NA,Quecksilber,ppm
6407,2005-09-08,3,NS,Wald,HGT_PPM,0,<0.15,-1,0.03,0.03,0,Quecksilber,ppm
6407,2010-06-30,4,NS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6407,2015-07-01,5,NS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6408,1995-09-19,1,NS,Wald,HGT_PPM,0.08,0.08,0,0.04,0.04,0,Quecksilber,ppm
6408,2000-07-19,2,NS,Wald,HGT_PPM,0.1,0.1,0,NA,NA,NA,Quecksilber,ppm
6408,2005-10-27,3,NS,Wald,HGT_PPM,0,<0.15,-1,0.03,0.03,0,Quecksilber,ppm
6408,2010-07-08,4,NS,Wald,HGT_PPM,0,<0.15,-1,NA,NA,NA,Quecksilber,ppm
6408,2015-11-18,5,NS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6408,2024-02-29,6,NS,Wald,HGT_PPM,NA,NA,NA,NA,NA,NA,Quecksilber,ppm
6409,1995-09-20,1,HS,Wald,HGT_PPM,0.09,0.09,0,0,<0.15,-1,Quecksilber,ppm
6409,2000-11-02,2,HS,Wald,HGT_PPM,0,<0.15,-1,0.04,0.04,0,Quecksilber,ppm
6409,2005-07-13,3,HS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6409,2010-08-11,4,HS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6409,2015-10-08,5,HS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6409,2020-09-03,6,HS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6410,1995-09-07,1,NS,Wald,HGT_PPM,0.09,0.09,0,0.04,0.04,0,Quecksilber,ppm
6410,2000-07-05,2,NS,Wald,HGT_PPM,0.09,0.09,0,0.05,0.05,0,Quecksilber,ppm
6410,2005-07-13,3,NS,Wald,HGT_PPM,0.09,0.09,0,0.04,0.04,0,Quecksilber,ppm
6410,2010-07-07,4,NS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6410,2015-10-01,5,NS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6410,2024-03-14,6,NS,Wald,HGT_PPM,NA,NA,NA,NA,NA,NA,Quecksilber,ppm
6411,1995-09-07,1,NS,Wald,HGT_PPM,0.09,0.09,0,0.06,0.06,0,Quecksilber,ppm
6411,2000-07-05,2,NS,Wald,HGT_PPM,0,<0.15,-1,NA,NA,NA,Quecksilber,ppm
6411,2005-11-09,3,NS,Wald,HGT_PPM,0,<0.15,-1,0.05,0.05,0,Quecksilber,ppm
6411,2010-07-07,4,NS,Wald,HGT_PPM,0,<0.15,-1,NA,NA,NA,Quecksilber,ppm
6411,2015-10-01,5,NS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6411,2024-03-21,6,NS,Wald,HGT_PPM,NA,NA,NA,NA,NA,NA,Quecksilber,ppm
6412,1995-09-22,1,NS,Wald,HGT_PPM,0.05,0.05,0,NA,NA,NA,Quecksilber,ppm
6412,2000-05-24,2,NS,Wald,HGT_PPM,0,<0.15,-1,NA,NA,NA,Quecksilber,ppm
6412,2005-09-01,3,NS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6412,2010-07-01,4,NS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6412,2015-07-08,5,NS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6413,1995-09-22,1,NS,Wald,HGT_PPM,0.01,0.01,0,NA,NA,NA,Quecksilber,ppm
6413,2000-08-22,2,NS,Wald,HGT_PPM,0,<0.15,-1,NA,NA,NA,Quecksilber,ppm
6413,2005-09-14,3,NS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6413,2010-07-01,4,NS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6413,2015-07-01,5,NS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6414,1995-09-04,1,NS,Wald,HGT_PPM,0.06,0.06,0,0.04,0.04,0,Quecksilber,ppm
6414,2000-07-26,2,NS,Wald,HGT_PPM,0,<0.15,-1,0.04,0.04,0,Quecksilber,ppm
6414,2005-11-02,3,NS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6414,2010-07-08,4,NS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6414,2015-07-08,5,NS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6415,1995-09-08,1,NS,Wald,HGT_PPM,0.08,0.08,0,NA,NA,NA,Quecksilber,ppm
6415,2000-07-26,2,NS,Wald,HGT_PPM,0,<0.15,-1,NA,NA,NA,Quecksilber,ppm
6415,2005-11-09,3,NS,Wald,HGT_PPM,0,<0.15,-1,0.04,0.04,0,Quecksilber,ppm
6415,2010-07-08,4,NS,Wald,HGT_PPM,0,<0.15,-1,NA,NA,NA,Quecksilber,ppm
6415,2015-07-09,5,NS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6416,1995-09-05,1,NS,Wald,HGT_PPM,0.07,0.07,0,0.05,0.05,0,Quecksilber,ppm
6416,2000-07-25,2,NS,Wald,HGT_PPM,0,<0.15,-1,NA,NA,NA,Quecksilber,ppm
6416,2005-09-08,3,NS,Wald,HGT_PPM,0,<0.15,-1,0.05,0.05,0,Quecksilber,ppm
6416,2010-06-30,4,NS,Wald,HGT_PPM,0,<0.15,-1,NA,NA,NA,Quecksilber,ppm
6416,2015-06-24,5,NS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6417,1995-09-14,1,NS,Acker,HGT_PPM,0.03,0.03,0,NA,NA,NA,Quecksilber,ppm
6417,2000-08-29,2,NS,Acker,HGT_PPM,0.03,0.03,0,NA,NA,NA,Quecksilber,ppm
6417,2005-08-10,3,NS,Acker,HGT_PPM,0.04,0.04,0,NA,NA,NA,Quecksilber,ppm
6417,2010-03-24,4,NS,Acker,HGT_PPM,0.03,0.03,0,0,<0.15,-1,Quecksilber,ppm
6417,2015-04-23,5,NS,Acker,HGT_PPM,0.03,0.03,0,0.01,0.01,0,Quecksilber,ppm
6418,1995-09-13,1,NS,Acker,HGT_PPM,0.15,0.15,0,0.09,0.09,0,Quecksilber,ppm
6418,2000-08-15,2,NS,Acker,HGT_PPM,0.14,0.14,0,0.09,0.09,0,Quecksilber,ppm
6418,2005-05-19,3,NS,Acker,HGT_PPM,0.15,0.15,0,0.1,0.1,0,Quecksilber,ppm
6418,2010-03-31,4,NS,Acker,HGT_PPM,0.14,0.14,0,0,<0.15,-1,Quecksilber,ppm
6418,2015-03-11,5,NS,Acker,HGT_PPM,0.14,0.14,0,0.08,0.08,0,Quecksilber,ppm
6418,2024-04-04,6,NS,Acker,HGT_PPM,NA,NA,NA,NA,NA,NA,Quecksilber,ppm
6419,1995-09-14,1,NS,Acker,HGT_PPM,0.03,0.03,0,NA,NA,NA,Quecksilber,ppm
6419,2000-10-25,2,NS,Acker,HGT_PPM,0.03,0.03,0,0.03,0.03,0,Quecksilber,ppm
6419,2010-03-25,4,NS,Acker,HGT_PPM,0.04,0.04,0,0.03,0.03,0,Quecksilber,ppm
6419,2015-03-12,5,NS,Acker,HGT_PPM,0.03,0.03,0,0.02,0.02,0,Quecksilber,ppm
6420,1995-09-04,1,NS,Acker,HGT_PPM,0,<0.15,-1,NA,NA,NA,Quecksilber,ppm
6420,2000-10-25,2,NS,Acker,HGT_PPM,0.04,0.04,0,0.04,0.04,0,Quecksilber,ppm
6420,2010-03-25,4,NS,Acker,HGT_PPM,0.04,0.04,0,0.04,0.04,0,Quecksilber,ppm
6420,2015-03-18,5,NS,Acker,HGT_PPM,0.03,0.03,0,0.04,0.04,0,Quecksilber,ppm
6421,1995-09-13,1,NS,Acker,HGT_PPM,0.04,0.04,0,0.02,0.02,0,Quecksilber,ppm
6421,2000-08-15,2,NS,Acker,HGT_PPM,0.04,0.04,0,NA,NA,NA,Quecksilber,ppm
6421,2010-04-15,4,NS,Acker,HGT_PPM,0.04,0.04,0,0.02,0.02,0,Quecksilber,ppm
6421,2015-03-17,5,NS,Acker,HGT_PPM,0.04,0.04,0,0.02,0.02,0,Quecksilber,ppm
6421,2024-03-14,6,NS,Acker,HGT_PPM,NA,NA,NA,NA,NA,NA,Quecksilber,ppm
6422,1995-09-05,1,NS,Acker,HGT_PPM,0.03,0.03,0,NA,NA,NA,Quecksilber,ppm
6422,2000-10-25,2,NS,Acker,HGT_PPM,0.03,0.03,0,NA,NA,NA,Quecksilber,ppm
6422,2010-07-21,4,NS,Acker,HGT_PPM,0.03,0.03,0,0.01,0.01,0,Quecksilber,ppm
6422,2015-04-23,5,NS,Acker,HGT_PPM,0.03,0.03,0,0.01,0.01,0,Quecksilber,ppm
6423,1995-09-13,1,NS,Acker,HGT_PPM,0.08,0.08,0,0.02,0.02,0,Quecksilber,ppm
6423,2000-11-01,2,NS,Acker,HGT_PPM,0.04,0.04,0,0.02,0.02,0,Quecksilber,ppm
6423,2010-03-31,4,NS,Acker,HGT_PPM,0.04,0.04,0,0.03,0.03,0,Quecksilber,ppm
6423,2015-03-17,5,NS,Acker,HGT_PPM,0.04,0.04,0,0.03,0.03,0,Quecksilber,ppm
6423,2024-03-07,6,NS,Acker,HGT_PPM,NA,NA,NA,NA,NA,NA,Quecksilber,ppm
6424,1995-09-21,1,NS,Acker,HGT_PPM,0,<0.15,-1,NA,NA,NA,Quecksilber,ppm
6424,2000-08-16,2,NS,Acker,HGT_PPM,0.03,0.03,0,NA,NA,NA,Quecksilber,ppm
6424,2010-04-14,4,NS,Acker,HGT_PPM,0.03,0.03,0,0.02,0.02,0,Quecksilber,ppm
6424,2015-03-11,5,NS,Acker,HGT_PPM,0.03,0.03,0,0.02,0.02,0,Quecksilber,ppm
6425,1995-09-21,1,NS,Acker,HGT_PPM,0,<0.15,-1,NA,NA,NA,Quecksilber,ppm
6425,2000-08-15,2,NS,Acker,HGT_PPM,0.04,0.04,0,0.02,0.02,0,Quecksilber,ppm
6425,2010-03-31,4,NS,Acker,HGT_PPM,0.07,0.07,0,0.03,0.03,0,Quecksilber,ppm
6425,2015-04-22,5,NS,Acker,HGT_PPM,0.03,0.03,0,0.03,0.03,0,Quecksilber,ppm
6425,2024-04-11,6,NS,Acker,HGT_PPM,NA,NA,NA,NA,NA,NA,Quecksilber,ppm
6426,1995-09-21,1,NS,Acker,HGT_PPM,0,<0.15,-1,NA,NA,NA,Quecksilber,ppm
6426,2000-10-12,2,NS,Acker,HGT_PPM,0.04,0.04,0,0.04,0.04,0,Quecksilber,ppm
6426,2010-08-18,4,NS,Acker,HGT_PPM,0.04,0.04,0,0.04,0.04,0,Quecksilber,ppm
6426,2015-03-17,5,NS,Acker,HGT_PPM,0.04,0.04,0,0.04,0.04,0,Quecksilber,ppm
6426,2024-05-29,6,NS,Acker,HGT_PPM,NA,NA,NA,NA,NA,NA,Quecksilber,ppm
6427,1995-09-27,1,NS,Acker,HGT_PPM,0,<0.15,-1,0.05,0.05,0,Quecksilber,ppm
6427,2000-08-29,2,NS,Acker,HGT_PPM,0.04,0.04,0,0.04,0.04,0,Quecksilber,ppm
6427,2010-04-08,4,NS,Acker,HGT_PPM,0.04,0.04,0,0.05,0.05,0,Quecksilber,ppm
6427,2015-03-18,5,NS,Acker,HGT_PPM,0.04,0.04,0,0.04,0.04,0,Quecksilber,ppm
6428,1995-09-08,1,NS,Acker,HGT_PPM,0,<0.15,-1,NA,NA,NA,Quecksilber,ppm
6428,2000-11-02,2,NS,Acker,HGT_PPM,0.03,0.03,0,NA,NA,NA,Quecksilber,ppm
6428,2010-08-04,4,NS,Acker,HGT_PPM,0.04,0.04,0,0.02,0.02,0,Quecksilber,ppm
6428,2015-04-30,5,NS,Acker,HGT_PPM,0.03,0.03,0,0.02,0.02,0,Quecksilber,ppm
6429,1995-09-28,1,NS,Acker,HGT_PPM,0,<0.15,-1,NA,NA,NA,Quecksilber,ppm
6429,2000-08-22,2,NS,Acker,HGT_PPM,0.04,0.04,0,NA,NA,NA,Quecksilber,ppm
6429,2010-04-15,4,NS,Acker,HGT_PPM,0.04,0.04,0,0.01,0.01,0,Quecksilber,ppm
6429,2015-03-19,5,NS,Acker,HGT_PPM,0.04,0.04,0,0.01,0.01,0,Quecksilber,ppm
6430,1995-09-27,1,NS,Acker,HGT_PPM,0,<0.15,-1,NA,NA,NA,Quecksilber,ppm
6430,2005-08-10,3,NS,Acker,HGT_PPM,0.03,0.03,0,0.02,0.02,0,Quecksilber,ppm
6430,2010-04-07,4,NS,Acker,HGT_PPM,0.03,0.03,0,0.02,0.02,0,Quecksilber,ppm
6430,2015-04-08,5,NS,Acker,HGT_PPM,0.03,0.03,0,0.02,0.02,0,Quecksilber,ppm
6431,1995-09-20,1,NS,Acker,HGT_PPM,0.05,0.05,0,NA,NA,NA,Quecksilber,ppm
6431,2000-11-01,2,NS,Acker,HGT_PPM,0.05,0.05,0,NA,NA,NA,Quecksilber,ppm
6431,2010-03-31,4,NS,Acker,HGT_PPM,0.04,0.04,0,0.02,0.02,0,Quecksilber,ppm
6431,2015-03-12,5,NS,Acker,HGT_PPM,0.04,0.04,0,0.02,0.02,0,Quecksilber,ppm
6432,1995-09-21,1,NS,Acker,HGT_PPM,0,<0.15,-1,NA,NA,NA,Quecksilber,ppm
6432,2000-08-29,2,NS,Acker,HGT_PPM,0.03,0.03,0,NA,NA,NA,Quecksilber,ppm
6432,2010-04-21,4,NS,Acker,HGT_PPM,0.04,0.04,0,0.02,0.02,0,Quecksilber,ppm
6432,2015-03-11,5,NS,Acker,HGT_PPM,0.04,0.04,0,0.02,0.02,0,Quecksilber,ppm
6433,1995-09-27,1,NS,Acker,HGT_PPM,0.03,0.03,0,NA,NA,NA,Quecksilber,ppm
6433,2000-10-18,2,NS,Acker,HGT_PPM,0.04,0.04,0,0.02,0.02,0,Quecksilber,ppm
6433,2005-08-10,3,NS,Acker,HGT_PPM,0.04,0.04,0,0.02,0.02,0,Quecksilber,ppm
6433,2010-04-14,4,NS,Acker,HGT_PPM,0.03,0.03,0,0,<0.15,-1,Quecksilber,ppm
6433,2015-03-13,5,NS,Acker,HGT_PPM,0.03,0.03,0,0.02,0.02,0,Quecksilber,ppm
6434,1995-09-20,1,NS,Acker,HGT_PPM,0,<0.15,-1,NA,NA,NA,Quecksilber,ppm
6434,2000-08-15,2,NS,Acker,HGT_PPM,0.04,0.04,0,0.05,0.05,0,Quecksilber,ppm
6434,2010-03-31,4,NS,Acker,HGT_PPM,0.04,0.04,0,0.05,0.05,0,Quecksilber,ppm
6434,2015-09-09,5,NS,Acker,HGT_PPM,0.04,0.04,0,0.05,0.05,0,Quecksilber,ppm
6435,1995-09-13,1,HS,Acker,HGT_PPM,0.03,0.03,0,0.03,0.03,0,Quecksilber,ppm
6435,2000-08-30,2,HS,Acker,HGT_PPM,0.03,0.03,0,0.02,0.02,0,Quecksilber,ppm
6435,2005-04-06,3,HS,Acker,HGT_PPM,0.03,0.03,0,0,<0.15,-1,Quecksilber,ppm
6435,2010-07-21,4,HS,Acker,HGT_PPM,0.03,0.03,0,0.03,0.03,0,Quecksilber,ppm
6435,2015-11-04,5,HS,Acker,HGT_PPM,0.03,0.03,0,0.03,0.03,0,Quecksilber,ppm
6435,2020-05-28,6,HS,Acker,HGT_PPM,0.03,0.03,0,0,<0.15,-1,Quecksilber,ppm
6436,1995-09-13,1,NS,Acker,HGT_PPM,0.03,0.03,0,0.03,0.03,0,Quecksilber,ppm
6436,2000-07-26,2,NS,Acker,HGT_PPM,0.03,0.03,0,0.03,0.03,0,Quecksilber,ppm
6436,2010-07-21,4,NS,Acker,HGT_PPM,0.03,0.03,0,0.03,0.03,0,Quecksilber,ppm
6436,2015-03-17,5,NS,Acker,HGT_PPM,0.03,0.03,0,0.03,0.03,0,Quecksilber,ppm
6437,1995-09-14,1,NS,Acker,HGT_PPM,0.05,0.05,0,0.03,0.03,0,Quecksilber,ppm
6437,2000-10-25,2,NS,Acker,HGT_PPM,0.04,0.04,0,0.02,0.02,0,Quecksilber,ppm
6437,2010-03-25,4,NS,Acker,HGT_PPM,0.04,0.04,0,0.03,0.03,0,Quecksilber,ppm
6437,2015-03-12,5,NS,Acker,HGT_PPM,0.04,0.04,0,0.02,0.02,0,Quecksilber,ppm
6438,1995-09-05,1,NS,Acker,HGT_PPM,0,<0.15,-1,0.03,0.03,0,Quecksilber,ppm
6438,2000-08-02,2,NS,Acker,HGT_PPM,0.04,0.04,0,0.03,0.03,0,Quecksilber,ppm
6438,2010-03-25,4,NS,Acker,HGT_PPM,0.03,0.03,0,0.03,0.03,0,Quecksilber,ppm
6438,2015-03-18,5,NS,Acker,HGT_PPM,0.03,0.03,0,0.03,0.03,0,Quecksilber,ppm
6439,1995-09-14,1,NS,Acker,HGT_PPM,0.04,0.04,0,0.04,0.04,0,Quecksilber,ppm
6439,2000-08-20,2,NS,Acker,HGT_PPM,0.04,0.04,0,0.03,0.03,0,Quecksilber,ppm
6439,2010-04-14,4,NS,Acker,HGT_PPM,0.04,0.04,0,0.04,0.04,0,Quecksilber,ppm
6439,2015-03-19,5,NS,Acker,HGT_PPM,0.04,0.04,0,0.03,0.03,0,Quecksilber,ppm
6440,1995-09-08,1,NS,Acker,HGT_PPM,0.04,0.04,0,0.03,0.03,0,Quecksilber,ppm
6440,2000-08-03,2,NS,Acker,HGT_PPM,0.03,0.03,0,0.02,0.02,0,Quecksilber,ppm
6440,2010-08-04,4,NS,Acker,HGT_PPM,0.03,0.03,0,0.02,0.02,0,Quecksilber,ppm
6440,2015-08-26,5,NS,Acker,HGT_PPM,0.03,0.03,0,0.02,0.02,0,Quecksilber,ppm
6441,1995-09-05,1,NS,Acker,HGT_PPM,0.05,0.05,0,NA,NA,NA,Quecksilber,ppm
6441,2000-10-18,2,NS,Acker,HGT_PPM,0.05,0.05,0,0.03,0.03,0,Quecksilber,ppm
6441,2005-05-19,3,NS,Acker,HGT_PPM,0.05,0.05,0,0.02,0.02,0,Quecksilber,ppm
6441,2010-04-07,4,NS,Acker,HGT_PPM,0.05,0.05,0,0,<0.15,-1,Quecksilber,ppm
6441,2015-03-12,5,NS,Acker,HGT_PPM,0.05,0.05,0,0.02,0.02,0,Quecksilber,ppm
6442,1995-09-06,1,NS,Acker,HGT_PPM,0.06,0.06,0,0.02,0.02,0,Quecksilber,ppm
6442,2000-11-01,2,NS,Acker,HGT_PPM,0.05,0.05,0,NA,NA,NA,Quecksilber,ppm
6442,2010-04-14,4,NS,Acker,HGT_PPM,0.05,0.05,0,0.02,0.02,0,Quecksilber,ppm
6442,2015-03-19,5,NS,Acker,HGT_PPM,0.05,0.05,0,0.01,0.01,0,Quecksilber,ppm
6444,1995-09-08,1,NS,Grünland,HGT_PPM,0.01,0.01,0,NA,NA,NA,Quecksilber,ppm
6444,2000-07-25,2,NS,Grünland,HGT_PPM,0.05,0.05,0,NA,NA,NA,Quecksilber,ppm
6444,2010-04-21,4,NS,Grünland,HGT_PPM,0.05,0.05,0,0.02,0.02,0,Quecksilber,ppm
6444,2015-04-22,5,NS,Grünland,HGT_PPM,0.05,0.05,0,0.01,0.01,0,Quecksilber,ppm
