"","StandortID","x_200","y_200","Gemeinde"
"141",7170,2687200,1255400,"Kloten"
"142",7171,2708000,1259400,"Elgg"
"143",7172,2706000,1260800,"Elgg"
"144",7173,2706200,1245000,"Bäretswil"
"145",7174,2706600,1245600,"Bäretswil"
"146",7175,2708000,1262000,"Elgg"
"147",7176,2708600,1259800,"Elgg"
"148",7177,2708000,1254400,"Turbenthal"
"149",7178,2699800,1254000,"Weisslingen"
"150",7179,2699800,1252600,"Weisslingen"
"151",7180,2700400,1249600,"Russikon"
"152",7181,2700600,1249400,"Russikon"
"153",7182,2703200,1247400,"Hittnau"
"154",7183,2705600,1247800,"Hittnau"
"155",7184,2705200,1245200,"Hittnau"
"156",7185,2706400,1240800,"Hinwil"
"157",7186,2706800,1259200,"Elgg"
"158",7187,2706400,1259000,"Elgg"
"159",7188,2705800,1256800,"Zell"
"160",7189,2703400,1256600,"Zell"
"161",7190,2703200,1257600,"Zell"
"162",7191,2703000,1256400,"Zell"
"163",7192,2700600,1255400,"Weisslingen"
"164",7193,2700800,1254600,"Weisslingen"
"165",7194,2701400,1253800,"Weisslingen"
"166",7195,2701400,1249400,"Russikon"
"167",7196,2703400,1249400,"Russikon"
"168",7197,2705200,1249800,"Pfäffikon"
"169",7198,2707200,1244800,"Bäretswil"
"170",7199,2709200,1243200,"Bäretswil"
"171",7200,2708000,1241400,"Hinwil"
"172",7201,2707800,1240400,"Hinwil"
"173",7202,2706400,1242400,"Hinwil"
"174",7203,2708000,1238800,"Hinwil"
"175",7204,2707400,1238000,"Dürnten"
"176",7205,2710800,1235400,"Wald"
"177",7206,2712400,1238800,"Wald"
"178",7207,2712400,1240400,"Wald"
"179",7208,2712200,1242200,"Fischenthal"
"180",7209,2682400,1268400,"Eglisau"
"181",7210,2682600,1267800,"Bülach"
"182",7211,2695000,1251000,"Volketswil"
"183",7212,2681000,1266400,"Hochfelden"
"184",7213,2679600,1264600,"Hochfelden"
"185",7214,2683200,1266400,"Bülach"
"186",7215,2682400,1266000,"Bülach"
"187",7216,2681800,1264800,"Bülach"
"188",7217,2681800,1262400,"Bülach"
"189",7218,2682200,1261400,"Bachenbülach"
"190",7219,2694600,1260600,"Winterthur"
"191",7220,2694800,1258600,"Brütten"
"192",7221,2695800,1250000,"Volketswil"
"193",7222,2693000,1256600,"Nürensdorf"
"194",7223,2693400,1256000,"Lindau"
"195",7224,2697200,1252400,"Illnau-Effretikon"
"196",7225,2692800,1251000,"Volketswil"
"197",7226,2694800,1248200,"Uster"
"198",7227,2695800,1248200,"Uster"
"199",7228,2694800,1245200,"Uster"
"200",7229,2698600,1246000,"Uster"
"201",7230,2699400,1244400,"Uster"
"202",7231,2699200,1238200,"Grüningen"
"203",7232,2708600,1258800,"Elgg"
"204",7233,2707200,1259800,"Elgg"
"205",7234,2709200,1258200,"Elgg"
"206",7235,2699600,1256600,"Illnau-Effretikon"
"207",7236,2703000,1257800,"Zell"
"208",7237,2698600,1255400,"Illnau-Effretikon"
"209",7238,2699000,1254400,"Weisslingen"
"210",7239,2699400,1253000,"Weisslingen"
"211",7240,2700000,1253400,"Weisslingen"
"212",7241,2701200,1252400,"Weisslingen"
"213",7242,2703000,1250800,"Russikon"
"214",7243,2700800,1251200,"Russikon"
"215",7244,2702400,1251400,"Russikon"
"216",7245,2688200,1255200,"Bassersdorf"
"217",7246,2687600,1254600,"Dietlikon"
"218",7247,2686600,1254400,"Opfikon"
"219",7248,2691000,1253000,"Wangen-Brüttisellen"
"220",7249,2706800,1248000,"Bauma"
"221",7250,2705800,1244400,"Bäretswil"
"222",7251,2703800,1251000,"Russikon"
"223",7253,2707000,1246200,"Bäretswil"
"224",7254,2708200,1245600,"Bäretswil"
"225",7255,2710200,1243600,"Bäretswil"
"226",7256,2706000,1250800,"Wildberg"
"227",7257,2708000,1253400,"Turbenthal"
"228",7258,2711000,1253000,"Turbenthal"
"229",7259,2706800,1249200,"Bauma"
"230",7260,2710000,1247600,"Bauma"
"231",7261,2713800,1248000,"Fischenthal"
"232",7262,2715800,1242400,"Fischenthal"
"233",7263,2716200,1242200,"Fischenthal"
"234",7265,2712000,1235600,"Wald"
"235",7266,2706000,1262000,"Elgg"
"236",7267,2708400,1263000,"Hagenbuch"
"237",7268,2699400,1256000,"Illnau-Effretikon"
"238",7269,2693200,1251800,"Volketswil"
"239",7270,2696800,1247200,"Uster"
"240",7271,2703600,1238600,"Bubikon"
"241",7273,2707400,1253400,"Turbenthal"
"242",7274,2706000,1241800,"Hinwil"
"243",7275,2707800,1241800,"Hinwil"
"244",7276,2707800,1236600,"Dürnten"
"245",7277,2710600,1236000,"Rüti"
"246",7278,2705400,1261600,"Elgg"
"247",7279,2707800,1245600,"Bäretswil"
"248",7280,2706800,1243000,"Bäretswil"
"249",7281,2705600,1238000,"Dürnten"
"250",7282,2713400,1237400,"Wald"
"251",7283,2707000,1261400,"Elgg"
"252",7284,2704400,1260200,"Schlatt"
