StandortID;p.dat;periode;KaboStatus;AktStandorttyp;Parameter;Wert_plot_OB;Wert_tab_OB;Klasse_OB;Quelle_OB;Wert_plot_UB;Wert_tab_UB;Klasse_UB;Quelle_UB
6406;30.06.2010;4;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;0;<0.15;-1;xrf
6406;01.07.2015;5;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;0;<0.15;-1;xrf
6407;22.09.1995;1;NS;Wald;HGT_PPM;0.07;0.07;0;vbbo;0.03;0.03;0;vbbo
6407;27.06.2000;2;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;NA;NA;NA;NA
6407;08.09.2005;3;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;0.03;0.03;0;vbbo
6407;30.06.2010;4;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;0;<0.15;-1;xrf
6407;01.07.2015;5;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;0;<0.15;-1;xrf
6408;19.09.1995;1;NS;Wald;HGT_PPM;0.08;0.08;0;vbbo;0.04;0.04;0;vbbo
6408;19.07.2000;2;NS;Wald;HGT_PPM;0.1;0.1;0;vbbo;NA;NA;NA;NA
6408;27.10.2005;3;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;0.03;0.03;0;vbbo
6408;08.07.2010;4;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;NA;NA;NA;NA
6408;18.11.2015;5;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;0;<0.15;-1;xrf
6408;29.02.2024;6;NS;Wald;HGT_PPM;NA;NA;NA;NA;NA;NA;NA;NA
6409;20.09.1995;1;HS;Wald;HGT_PPM;0.09;0.09;0;vbbo;0;<0.15;-1;xrf
6409;02.11.2000;2;HS;Wald;HGT_PPM;0;<0.15;-1;xrf;0.04;0.04;0;vbbo
6409;13.07.2005;3;HS;Wald;HGT_PPM;0;<0.15;-1;xrf;0;<0.15;-1;xrf
6409;11.08.2010;4;HS;Wald;HGT_PPM;0;<0.15;-1;xrf;0;<0.15;-1;xrf
6409;08.10.2015;5;HS;Wald;HGT_PPM;0;<0.15;-1;xrf;0;<0.15;-1;xrf
6409;03.09.2020;6;HS;Wald;HGT_PPM;0;<0.15;-1;xrf;0;<0.15;-1;xrf
6410;07.09.1995;1;NS;Wald;HGT_PPM;0.09;0.09;0;vbbo;0.04;0.04;0;vbbo
6410;05.07.2000;2;NS;Wald;HGT_PPM;0.09;0.09;0;vbbo;0.05;0.05;0;vbbo
6410;13.07.2005;3;NS;Wald;HGT_PPM;0.09;0.09;0;vbbo;0.04;0.04;0;vbbo
6410;07.07.2010;4;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;0;<0.15;-1;xrf
6410;01.10.2015;5;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;0;<0.15;-1;xrf
6410;14.03.2024;6;NS;Wald;HGT_PPM;NA;NA;NA;NA;NA;NA;NA;NA
6411;07.09.1995;1;NS;Wald;HGT_PPM;0.09;0.09;0;vbbo;0.06;0.06;0;vbbo
6411;05.07.2000;2;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;NA;NA;NA;NA
6411;09.11.2005;3;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;0.05;0.05;0;vbbo
6411;07.07.2010;4;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;NA;NA;NA;NA
6411;01.10.2015;5;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;0;<0.15;-1;xrf
6411;21.03.2024;6;NS;Wald;HGT_PPM;NA;NA;NA;NA;NA;NA;NA;NA
6412;22.09.1995;1;NS;Wald;HGT_PPM;0.05;0.05;0;vbbo;NA;NA;NA;NA
6412;24.05.2000;2;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;NA;NA;NA;NA
6412;01.09.2005;3;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;0;<0.15;-1;xrf
6412;01.07.2010;4;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;0;<0.15;-1;xrf
6412;08.07.2015;5;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;0;<0.15;-1;xrf
6413;22.09.1995;1;NS;Wald;HGT_PPM;0.01;0.01;0;vbbo;NA;NA;NA;NA
6413;22.08.2000;2;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;NA;NA;NA;NA
6413;14.09.2005;3;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;0;<0.15;-1;xrf
6413;01.07.2010;4;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;0;<0.15;-1;xrf
6413;01.07.2015;5;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;0;<0.15;-1;xrf
6414;04.09.1995;1;NS;Wald;HGT_PPM;0.06;0.06;0;vbbo;0.04;0.04;0;vbbo
6414;26.07.2000;2;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;0.04;0.04;0;vbbo
6414;02.11.2005;3;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;0;<0.15;-1;xrf
6414;08.07.2010;4;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;0;<0.15;-1;xrf
6414;08.07.2015;5;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;0;<0.15;-1;xrf
6415;08.09.1995;1;NS;Wald;HGT_PPM;0.08;0.08;0;vbbo;NA;NA;NA;NA
6415;26.07.2000;2;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;NA;NA;NA;NA
6415;09.11.2005;3;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;0.04;0.04;0;vbbo
6415;08.07.2010;4;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;NA;NA;NA;NA
6415;09.07.2015;5;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;0;<0.15;-1;xrf
6416;05.09.1995;1;NS;Wald;HGT_PPM;0.07;0.07;0;vbbo;0.05;0.05;0;vbbo
6416;25.07.2000;2;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;NA;NA;NA;NA
6416;08.09.2005;3;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;0.05;0.05;0;vbbo
6416;30.06.2010;4;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;NA;NA;NA;NA
6416;24.06.2015;5;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;0;<0.15;-1;xrf
6417;14.09.1995;1;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;NA;NA;NA;NA
6417;29.08.2000;2;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;NA;NA;NA;NA
6417;10.08.2005;3;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;NA;NA;NA;NA
6417;24.03.2010;4;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;0;<0.15;-1;xrf
6417;23.04.2015;5;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;0.01;0.01;0;vbbo
6418;13.09.1995;1;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.15;0.15;0;vbbo;0.09;0.09;0;vbbo
6418;15.08.2000;2;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.14;0.14;0;vbbo;0.09;0.09;0;vbbo
6418;19.05.2005;3;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.15;0.15;0;vbbo;0.1;0.1;0;vbbo
6418;31.03.2010;4;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.14;0.14;0;vbbo;0;<0.15;-1;xrf
6418;11.03.2015;5;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.14;0.14;0;vbbo;0.08;0.08;0;vbbo
6418;04.04.2024;6;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;NA;NA;NA;NA;NA;NA;NA;NA
6419;14.09.1995;1;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;NA;NA;NA;NA
6419;25.10.2000;2;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;0.03;0.03;0;vbbo
6419;25.03.2010;4;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.03;0.03;0;vbbo
6419;12.03.2015;5;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;0.02;0.02;0;vbbo
6420;04.09.1995;1;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0;<0.15;-1;xrf;NA;NA;NA;NA
6420;25.10.2000;2;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.04;0.04;0;vbbo
6420;25.03.2010;4;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.04;0.04;0;vbbo
6420;18.03.2015;5;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;0.04;0.04;0;vbbo
6421;13.09.1995;1;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.02;0.02;0;vbbo
6421;15.08.2000;2;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;NA;NA;NA;NA
6421;15.04.2010;4;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.02;0.02;0;vbbo
6421;17.03.2015;5;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.02;0.02;0;vbbo
6421;14.03.2024;6;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;NA;NA;NA;NA;NA;NA;NA;NA
6422;05.09.1995;1;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;NA;NA;NA;NA
6422;25.10.2000;2;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;NA;NA;NA;NA
6422;21.07.2010;4;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;0.01;0.01;0;vbbo
6422;23.04.2015;5;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;0.01;0.01;0;vbbo
6423;13.09.1995;1;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.08;0.08;0;vbbo;0.02;0.02;0;vbbo
6423;01.11.2000;2;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.02;0.02;0;vbbo
6423;31.03.2010;4;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.03;0.03;0;vbbo
6423;17.03.2015;5;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.03;0.03;0;vbbo
6423;07.03.2024;6;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;NA;NA;NA;NA;NA;NA;NA;NA
6424;21.09.1995;1;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0;<0.15;-1;xrf;NA;NA;NA;NA
6424;16.08.2000;2;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;NA;NA;NA;NA
6424;14.04.2010;4;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;0.02;0.02;0;vbbo
6424;11.03.2015;5;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;0.02;0.02;0;vbbo
6425;21.09.1995;1;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0;<0.15;-1;xrf;NA;NA;NA;NA
6425;15.08.2000;2;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.02;0.02;0;vbbo
6425;31.03.2010;4;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.07;0.07;0;vbbo;0.03;0.03;0;vbbo
6425;22.04.2015;5;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;0.03;0.03;0;vbbo
6425;11.04.2024;6;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;NA;NA;NA;NA;NA;NA;NA;NA
6426;21.09.1995;1;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0;<0.15;-1;xrf;NA;NA;NA;NA
6426;12.10.2000;2;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.04;0.04;0;vbbo
6426;18.08.2010;4;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.04;0.04;0;vbbo
6426;17.03.2015;5;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.04;0.04;0;vbbo
6426;29.05.2024;6;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;NA;NA;NA;NA;NA;NA;NA;NA
6427;27.09.1995;1;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0;<0.15;-1;xrf;0.05;0.05;0;vbbo
6427;29.08.2000;2;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.04;0.04;0;vbbo
6427;08.04.2010;4;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.05;0.05;0;vbbo
6427;18.03.2015;5;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.04;0.04;0;vbbo
6428;08.09.1995;1;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0;<0.15;-1;xrf;NA;NA;NA;NA
6428;02.11.2000;2;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;NA;NA;NA;NA
6428;04.08.2010;4;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.02;0.02;0;vbbo
6428;30.04.2015;5;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;0.02;0.02;0;vbbo
6429;28.09.1995;1;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0;<0.15;-1;xrf;NA;NA;NA;NA
